,target_return,exp_market_change,rates,Net_Profit,Non_current_liabilities,Debt_M,Debt_Per_Capita,CPI_perc,GDP_Mill_dollars,GDP_Growth_perc,Unemployment_alt
66,0.13515408394148953,-0.02013095569796601,5.49,1870.0,10498.0,159429,3091.0,3.571,416.879,3.3,24.7
67,0.058327365321874776,0.037597822388567535,5.5,3095.0,10798.0,162398,3104.0,6.34,396.332,2.2,25.0
68,0.030892150122098668,-0.005210768922439709,5.58,1929.0,11771.0,162398,3104.0,6.34,396.332,2.2,25.0
69,0.16920814954841412,0.04601217969462505,5.05,3841.0,11406.0,161760,3046.0,5.858,366.802,2.5,24.6
70,0.020061728395061703,0.0343868890839918,5.12,2040.0,12257.0,161760,3046.0,5.858,366.802,2.5,24.6
71,0.12008718395815166,0.0800896107532904,5.56,3904.0,11510.0,164828,3057.0,5.88,351.116,1.7,25.1
72,0.03605833661805291,0.05500595401667125,5.79,1747.0,10748.0,164828,3057.0,5.88,351.116,1.7,25.1
73,0.011708874794873037,0.08576894707726351,5.88,3115.0,11584.0,156650,2861.0,4.079,317.568,1.3,25.0
74,0.1295602084666727,-0.003254941691276325,5.76,2645.0,20504.0,156650,2861.0,4.079,317.568,1.3,25.0
75,0.10687823371475312,-0.049372820035096084,6.93,4290.0,21701.0,152509,2742.0,6.943,294.9,0.3,24.9
76,-0.0627203841248406,-0.004724103714569222,7.2,2671.0,18200.0,152509,2742.0,6.943,294.9,0.3,24.9
77,0.14797223237120938,0.03733234230886179,5.05,95.2,370.6,162398,3104.0,6.34,396.332,2.2,25.0
78,0.3924686192468618,0.04601217969462505,5.05,240.0,299.3,161760,3046.0,5.858,366.802,2.5,24.6
79,0.028900676788000682,0.0397489539748954,5.09,212.3,293.4,161760,3046.0,5.858,366.802,2.5,24.6
80,-0.12743362831858407,0.060837358292249566,5.56,338.4,385.2,164828,3057.0,5.88,351.116,1.7,25.1
81,0.0652054794520549,0.08576894707726351,5.88,448.6,449.4,156650,2861.0,4.079,317.568,1.3,25.0
82,0.01958614584486007,-0.03686348016244923,6.03,263.9,483.9,156650,2861.0,4.079,317.568,1.3,25.0
83,0.14446043165467626,-0.07813609276509692,6.93,431.1,630.3,152509,2742.0,6.943,294.9,0.3,24.9
